,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2016-02-29,54.8800,55.0900,48.1900,50.8800,45.7216,814770780,0.3600
2016-01-29,54.3200,55.3900,49.1000,55.0900,49.1584,927914485,0.0000
2015-12-31,54.4100,56.8500,53.6800,55.4800,49.5064,793070000,0.0000
2015-11-30,52.8500,54.9800,52.5300,54.3500,48.4980,662622220,0.3600
2015-10-30,44.7500,54.3700,43.7500,52.6400,46.6551,857330655,0.0000
2015-09-30,42.2300,45.0000,41.6600,44.2000,39.1747,670779566,0.0000
2015-08-31,46.9800,48.4100,39.7200,43.5200,38.5720,776277394,0.3100
2015-07-31,44.4600,47.4000,43.3200,46.7000,41.1208,725458102,0.0000
2015-06-30,47.0600,47.7700,43.9400,44.1500,38.8754,664853340,0.0000
2015-05-29,48.5800,48.9050,46.0200,46.8600,41.2616,633072750,0.3100
2015-04-30,40.6000,49.5400,40.1200,48.6400,42.5517,874535095,0.0000
2015-03-31,43.6700,44.1900,40.5400,40.6550,35.5662,824335340,0.0000
2015-02-27,40.5900,44.3000,40.2300,43.8500,38.3613,656509827,0.3100
2015-01-30,46.6600,47.9100,40.3500,40.4000,35.0935,918738022,0.0000
2014-12-31,47.8800,49.0600,44.9000,46.4500,40.3488,626810606,0.0000
2014-11-28,46.8900,50.0450,46.7300,47.8100,41.5302,523008240,0.3100
2014-10-31,46.2700,46.9700,42.1000,46.9500,40.5254,853297059,0.0000
2014-09-30,45.4300,47.5700,44.5300,46.3600,40.0162,860084532,0.0000
2014-08-29,43.2100,45.4700,42.2100,45.4300,39.2134,513429400,0.2800
2014-07-31,41.8600,45.7100,41.0500,43.1600,37.0253,731616500,0.0000
2014-06-30,40.9500,42.2900,39.8600,41.7000,35.7729,555779700,0.0000
2014-05-30,40.2401,40.9700,38.5100,40.9400,35.1209,574362900,0.2800
2014-04-30,41.1500,41.6600,38.9000,40.4000,34.4192,746113500,0.0000
2014-03-31,37.9200,41.5000,37.4950,40.9900,34.9219,778425700,0.0000
2014-02-28,37.7400,38.4600,35.6900,38.3100,32.6386,705304500,0.2800
2014-01-31,37.3500,37.8900,34.6300,37.8400,31.9988,930226200,0.0000
2013-12-31,38.0900,38.9800,35.5300,37.4100,31.6351,826617700,0.0000
2013-11-29,35.6700,38.2900,35.3900,38.1300,32.2440,800431600,0.2800
2013-10-31,33.3500,36.2900,32.8000,35.4050,29.7132,965331500,0.0000
2013-09-30,31.7500,33.7500,30.9500,33.2800,27.9298,1242961500,0.0000
2013-08-30,32.0600,35.2000,30.8400,33.4000,28.0305,1051265000,0.2300
2013-07-31,34.7500,36.4299,31.0200,31.8400,26.5320,1111130600,0.0000
2013-06-28,34.9200,35.7800,32.5700,34.5450,28.7860,945155500,0.0000
2013-05-31,32.9300,35.2800,32.3200,34.9000,29.0818,1071860000,0.2300
2013-04-30,28.6400,33.1100,28.1100,33.1000,27.3940,1322883228,0.0000
2013-03-28,27.7200,28.6600,27.5200,28.6050,23.6739,844946000,0.0000
2013-02-28,27.6700,28.2000,27.1000,27.8000,23.0077,780587000,0.2300
2013-01-31,27.2500,28.2300,26.2800,27.4500,22.5332,1145054400,0.0000
2012-12-31,26.7800,27.7300,26.2600,26.7097,21.9255,947310900,0.0000
2012-11-30,28.8400,30.2000,26.3449,26.6150,21.8478,1310516100,0.2300
2012-10-31,29.8100,30.2500,27.7600,28.5400,23.2307,1105402300,0.0000
2012-09-28,30.4500,31.6100,29.7400,29.7600,24.2238,893107700,0.0000
2012-08-31,29.5900,30.9600,28.9700,30.8200,25.0866,671748400,0.2000
2012-07-31,30.6200,31.0500,28.5400,29.4700,23.8295,846604100,0.0000
2012-06-29,28.7600,31.1400,28.3200,30.5900,24.7352,973131400,0.0000
2012-05-31,32.0500,32.3350,28.6400,29.1900,23.6031,1014372600,0.2000
2012-04-30,32.2200,32.8900,30.2300,32.0150,25.7172,940739700,0.0000
2012-03-30,31.9300,32.9500,31.4900,32.2550,25.9100,942366500,0.0000
2012-02-29,29.7900,32.0000,29.7100,31.7400,25.4963,984332300,0.2000
2012-01-31,26.5500,29.9500,26.3900,29.5300,23.5652,1354858100,0.0000
2011-12-30,25.5600,26.1900,25.1600,25.9600,20.7163,1007166600,0.0000
2011-11-30,26.1900,27.2000,24.3000,25.5800,20.4131,1046207400,0.2000
2011-10-31,24.7200,27.5000,24.2600,26.6300,21.0932,1218142500,0.0000
2011-09-30,26.4600,27.5000,24.6000,24.8900,19.7150,1279920200,0.0000
2011-08-31,27.5100,27.6850,23.7900,26.6000,21.0694,1719339500,0.1600
2011-07-29,25.9300,28.1450,25.8400,27.4000,21.5670,1259328200,0.0000
2011-06-30,24.9900,26.0000,23.6500,26.0000,20.4650,1297757600,0.0000
2011-05-31,25.9400,26.2500,24.0300,25.0100,19.6858,1364062800,0.1600
2011-04-29,25.5300,26.8700,24.7200,25.9200,20.2698,1313844800,0.0000
2011-03-31,26.6000,26.7800,24.6800,25.3900,19.8553,1310885200,0.0000
2011-02-28,27.8000,28.3400,26.4300,26.5800,20.7859,1114368500,0.1600
2011-01-31,28.0500,29.4600,27.4200,27.7250,21.5534,1361258700,0.0000
2010-12-31,25.5700,28.4000,25.5600,27.9100,21.6972,1033710000,0.0000
2010-11-30,26.8800,27.4900,24.9300,25.2575,19.6352,1361176300,0.1600
2010-10-29,24.4900,27.2000,23.7800,26.6650,20.6017,1281432800,0.0000
2010-09-30,23.6700,25.5300,23.5400,24.4900,18.9212,1273139500,0.0000
2010-08-31,25.9900,26.3800,23.3200,23.4650,18.1293,1279372100,0.1300
2010-07-30,23.0900,26.4100,22.7300,25.8100,19.8367,1408590600,0.0000
2010-06-30,25.5300,26.9300,22.9500,23.0100,17.6847,1671811600,0.0000
2010-05-28,30.6700,31.0606,24.5600,25.8000,19.8290,1720130200,0.1300
2010-04-30,29.3500,31.5800,28.6200,30.5350,23.3620,1319029500,0.0000
2010-03-31,28.7700,30.5700,28.2400,29.2875,22.4075,1110237200,0.0000
2010-02-26,28.3900,29.0300,27.5700,28.6700,21.9351,1074643300,0.1300
2010-01-29,30.6200,31.2400,27.6600,28.1800,21.4618,1359650900,0.0000
2009-12-31,29.5200,31.5000,29.2500,30.4800,23.2135,920605500,0.0000
2009-11-30,27.7000,30.1400,27.4100,29.4100,22.3986,1018256700,0.1300
2009-10-30,25.4050,29.3500,24.4300,27.7300,21.0280,1523430100,0.0000
2009-09-30,24.3500,26.2500,23.7600,25.7200,19.5038,1038979700,0.0000
2009-08-31,23.8200,25.4900,23.0300,24.6500,18.6924,993250400,0.1300
2009-07-31,24.0500,25.7200,22.0000,23.5200,17.7377,1517459800,0.0000
2009-06-30,21.0000,24.3400,20.8600,23.7700,17.9262,1411144700,0.0000
2009-05-29,20.1900,20.9400,19.0100,20.8900,15.7543,1101122400,0.1300
2009-04-30,18.2300,21.2000,18.1800,20.2600,15.1820,1562400700,0.0000
2009-03-31,16.0350,18.8800,14.8700,18.3700,13.7657,1625752800,0.0000
2009-02-27,17.0100,19.9300,16.1000,16.1500,12.1021,1456213400,0.1300
2009-01-30,19.5328,21.0000,16.7500,17.1000,12.7226,1564043400,0.0000
2008-12-31,19.8750,21.2500,18.4700,19.4400,14.4636,1546943400,0.0000
2008-11-28,22.4800,23.6600,17.5000,20.2200,15.0439,1794911800,0.1300
2008-10-31,26.3800,27.4700,20.6500,22.3300,16.5044,3044579400,0.0000
2008-09-30,27.6650,27.7600,23.5000,26.6900,19.7269,1927538700,0.0000
2008-08-29,25.9500,28.5000,25.0700,27.2900,20.1704,1206949700,0.1100
2008-07-31,27.2200,27.9100,24.8700,25.7200,18.9337,1579425446,0.0000
2008-06-30,28.2400,29.5700,27.1100,27.5100,20.2514,1560439100,0.0000
2008-05-30,28.4800,30.5300,27.9500,28.3200,20.8477,1405170200,0.1100
2008-04-30,28.8300,32.1000,27.9300,28.5200,20.9177,1444720000,0.0000
2008-03-31,27.2400,29.5900,26.8700,28.3800,20.8150,1452390200,0.0000
2008-02-29,31.0600,33.2500,27.0200,27.1999,19.9495,2324580800,0.1100
2008-01-31,35.7900,35.9600,31.0400,32.6000,23.8171,1950301600,0.0000
2007-12-31,33.5000,36.7200,32.6300,35.6000,26.0089,1064817100,0.0000
2007-11-30,36.5300,37.5000,32.6800,33.6000,24.5477,1830846800,0.1100
2007-10-31,29.4600,37.0000,29.2900,36.8100,26.8073,1772076700,0.0000
2007-09-28,28.5000,29.8500,28.2700,29.4600,21.4546,1117419500,0.0000
2007-08-31,28.9700,30.1000,27.5100,28.7300,20.9230,1228579500,0.1000
2007-07-31,29.6700,31.8400,28.9500,28.9900,21.0379,1295548000,0.0000
